url,Tweet content,Language code (e.g. 'id' for Indonesian),Number of likes,Number of retweets,Number of replies,Number of quote tweets,Timestamp of the tweet,Unique tweet ID,Unique user ID,Twitter handle,Display name,User bio,Time Extracted,Preprocessed Texts
https://x.com/qepo_s/status/1755516456048250988,"Coba lamar aja. Dan juga backend bukan sekedar menguasai bahasa pemrograman A B C, yg penting ngerti apa itu backend.

Kalau nanti mulainya dari Junior atau apa, tergantung kebijakan perusahaan setelah menilai kamu dalam interview.

https://t.co/U1cFhpXAkk https://t.co/InWi1qTuzn",in,4,0,0,0,Mon Jan 30 12:25:15 +0000 2012,1.75552e+18,478563619.0,qepo_s,Taufiq S,Software Engineer. Chelsea fan. Gamer. My opinions are my own.,2025:09:05 17:39:57,coba lamar backend kuasa bahasa program a b sih erti backend mulai junior gantung bijak usaha nilai interview
https://x.com/TomaconR59297/status/1814016773467132137,"Sedangkan minat saya adanya di pemrograman bagian backend, basis data, computer network. Bahkan saya sudah mempelajari ilmu² tsb sejak masih smp dan sma, saya juga mempunyai keinginan untuk menjadi ai engineer ataupun cyber security dimasa depan. Apakah jurusan sistem informasi",in,0,0,2,0,Mon Feb 19 19:05:17 +0000 2024,1.81402e+18,1.75966e+18,TomaconR59297,Tomacon Run,,2025:09:05 17:39:57,minat program backend basis data computer network ajar ilmu ai engineer cyber security jurus sistem informasi
https://x.com/bigbubblegvm/status/1893732622813090037,"Ini projek tugas akhir berat di pemrograman (mikro, backend+frontend), algoritma PID, elektronika. Pemrograman yang paling berat (mungkin) karena ga boleh pake library, semua manual *aku gatau bakalan berapa baris code, mungkin ribuan. Cetak pcb sendiri untuk minsys nya. Gokilll",in,0,0,0,0,Tue Dec 13 18:15:33 +0000 2022,1.89373e+18,1.60273e+18,bigbubblegvm,mal,"hoping the world will be a better, more peaceful place.",2025:09:05 17:39:57,projek tugas berat program mikro backendfrontend algoritma pid elektronika program berat pakai library manual tau baris code ribu cetak pcb minsys nya gila
https://x.com/Shiroooru/status/1908790519125467167,"@worksfess Indonesia beneran ga baik - baik aja. 

Jadi backend dev tuh susah, butuh waktu untuk bisa develop skillnya. Proses panjang dan ga mudah supaya dapet logika nulis kode dan bahasa pemrograman beragam dan selalu harus update trend di industri. Jadi ya ga segini juga gajinya 😭",in,159,1,1,0,Sun Aug 25 15:03:12 +0000 2024,1.2446e+18,1.82772e+18,Shiroooru,Shiroo,Hi there,2025:09:05 17:39:57,indonesia benar backend dev susah butuh develop skillnya proses mudah logika tulis kode bahasa program agam baru tren industri ya gin gaji
https://x.com/Pratham786/status/1958161562088493326,"@piyushgarg_dev Sir frontend ka best course btao 
GenAI with JS Batch se hu Frontend acha nahi hai mera bilkul any tips ye kaisa 2 din mai itna acha frontend kr le rahe hai 🫠",in,0,0,0,0,Sat Sep 09 17:03:33 +0000 2017,1.43981e+18,9.06564e+17,Pratham786,Prathamesh Adinawar,,2025:09:05 17:39:57,sir frontend kakak best course btao gena js batch hu frontend acha nahi hai mera bilkul any tips iya kaisa din itna acha frontend rahe hai
https://x.com/sanaguweb/status/1958776110831083936,"@anon_codex nilichelew kuona hii kama nafs ipo naomba. ni fit web design, naweza kufanya website customization lakini poa niko familiar na WordPress, najua kubuy domain na ku connect na hosting pia nauelewa wa SEO, kwa kifupi ni na basics ya website dev kwa upande wa frontend",in,2,0,1,0,Thu Jan 23 11:58:04 +0000 2020,1.13655e+18,1.22031e+18,sanaguweb,Sanagu,Lawyer | Human right defender| legal content creator | Researcher,2025:09:05 17:39:57,nilichelew kuona hai kama nafs ipo naomba nih fit web design naweza kufanya website customization lakini poa niko familiar nya wordpress najua kubuy domain nya ku connect nya hosting pia nauelewa wa seo kwa kifupi nih nya basics ya website dev kwa upande wa frontend
https://x.com/bobohokontz/status/1958793075821879471,"kok orang-orang baru nganu sesuatu sedikit tiba-tiba berani buka kelas, buka konsul ya. 

apa ga ngeri advisnya 😅",in,11846,1392,217,334,Sat Aug 12 23:35:39 +0000 2023,1.9585e+18,89326335.0,bobohokontz,Boboho,cuman hidup.,2025:09:05 17:39:57,orangorang anu berani buka kelas buka konsultasi ya ngeri advis
https://x.com/mikomikamilo/status/1959645319203103088,"@amatugutama @lucywiryono Artikel itu ttp sj tdk mbuktikan asumsi mu sblmx bhw ducati mlkukn pngembangn hax u/ MM. Bhkn dtulis mesin brbda sisax ttp sama. PB hax khilangn feeling frontend, n ini trkait geometri motor, sdngkn geometri mtr ga brubah, malah di artikel dtulis trkait new sasis yg sempat dcoba.",in,0,0,0,0,Thu Nov 15 14:42:08 +0000 2018,745468778.0,1.06308e+18,mikomikamilo,Miko,INFJ-T | Grow in Silence,2025:09:05 17:39:57,artikel mbuktikan asumsi mu sblmx ducati mlkukn pngembangn hax u mm dtulis mesin brbda sisax pb hax khilangn feeling frontend kait geometri motor geometri mtr ubah artikel dtulis kait new sasis dcoba
https://x.com/himmwel/status/1959912387802431892,@collegemfs aku nder tp aku blm yudisium si tp pas habis sidang ntah itu sblm sidang namaku gaada tp tmn sender ada trs nanya sm sekretaris prodi kan dicariin yg biasanya megang akun pddikti kampus katanya namaku ada udh ke sinkronisasi tp emg frontend website nya lg perbaikan krn baru,in,0,0,0,0,Mon Aug 03 10:34:00 +0000 2015,1.20401e+18,3401086887.0,himmwel,𝐳𝐲𝐡𝐝𝐚𝐧,𓏲ּ 🐈‍⬛🎀 𓊆ྀི tiNy shOp : +94.3 𓈈 i’m ready to take your order ⋆.˚🥛ꕀ with love &amp;.&amp; care 𓍯 shop open at: O9.OO - 24.OO ⊹ 🕯️ ₊ いらっしゃいませ! 𝜗𝜚˚⋆,2025:09:05 17:39:57,nder yudisium sih pas habis sidang sidang nama teman sender sekretaris program studi dicariin pegang akun pddikti kampus nama sinkronisasi frontend website nya baik
https://x.com/AllstarsAcID/status/1959926517833892348,"Saat ini, Proprietary AMMs lagi nguasain DeFi Solana! 🔥🔥🔥

Walaupun prop AMMs harus diakses lewat aggregator kayak Jupiter dan gak punya frontend publik kaya Radium dan Orca, tapi mereka lagi nunjukin dominasinya di market DeFi! 🤯
Siapa aja DEX yang lagi hype ini? Check it",in,3,1,1,0,Tue Feb 25 12:28:51 +0000 2025,1.95993e+18,1.89436e+18,AllstarsAcID,Allstars Academy Indonesia,Komunitas untuk belajar dan ngobrolin Web3! 🤝 | 🌏: @AllstarsAC,2025:09:05 17:39:57,proprietary amms nguasain defi solana prop amms akses aggregator kayak jupiter frontend publik kayak radium orca dominasi market defi dex hype check
